県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
千葉県,D112210000235,千葉県立国府台高等学校,普通科,320,373,1.17,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.22,-0.05
千葉県,D112210000244,千葉県立国分高等学校,普通科,320,420,1.31,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.46,-0.15
千葉県,D112210000253,千葉県立行徳高等学校,普通科,120,103,0.86,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.65,0.21
千葉県,D112210000262,千葉県立市川東高等学校,普通科,320,328,1.03,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.09,-0.06
千葉県,D112210001207,千葉県立市川昴高等学校,普通科,320,320,1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.23,-0.23
千葉県,D112210000271,千葉県立市川南高等学校,普通科,280,281,1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.99,0.01
千葉県,D112210000967,千葉県立浦安高等学校,普通科,200,170,0.85,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.04,-0.19
千葉県,D112210000976,千葉県立浦安南高等学校,普通科,120,62,0.52,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.73,-0.21
千葉県,D112210000896,千葉県立鎌ヶ谷高等学校,普通科,320,435,1.36,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.53,-0.17
千葉県,D112210000903,千葉県立鎌ヶ谷西高等学校,普通科,160,172,1.08,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.83,0.25
千葉県,D112210000422,千葉県立松戸高等学校,普通科,200,223,1.12,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.12,0
千葉県,D112210000422,千葉県立松戸高等学校,芸術科,40,44,1.1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.7,-0.6
千葉県,D112210000431,千葉県立小金高等学校,総合学科,320,598,1.87,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.59,0.28
千葉県,D112210000440,千葉県立松戸国際高等学校,普通科,200,219,1.1,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.25,-0.15
千葉県,D112210000440,千葉県立松戸国際高等学校,国際教養科,120,113,0.94,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.41,-0.47
千葉県,D112210000468,千葉県立松戸六実高等学校,普通科,320,444,1.39,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.47,-0.08
