県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
長野県,D120220400025,長野県岡谷工業高等学校,機械工学,24,2,0.08,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120220400025,長野県岡谷工業高等学校,電気工学,21,5,0.24,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120220400025,長野県岡谷工業高等学校,電子機械,18,6,0.33,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120220400025,長野県岡谷工業高等学校,情報技術,16,19,1.19,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120238200010,長野県辰野高等学校,普通,32,31,0.97,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.19,-0.22
長野県,D120238200010,長野県辰野高等学校,商業,16,7,0.44,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.63,-0.19
長野県,D120238500017,長野県上伊那農業高等学校,農業（つくるマネジメント・流通マネジメント・くらしマネジメント）,48,51,1.06,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120220900039,長野県高遠高等学校,普通,32,14,0.44,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.97,-0.53
長野県,D120220900011,長野県伊那北高等学校,普通,160,159,0.99,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.01,-0.02
長野県,D120220900011,長野県伊那北高等学校,理数,4,19,4.75,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,2.5,2.25
長野県,,伊那弥生ヶ丘,普通,160,162,1.01,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.02,-0.01
長野県,D120221000018,長野県赤穂高等学校,普通,120,112,0.93,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.95,-0.02
長野県,D120221000018,長野県赤穂高等学校,商業,32,34,1.06,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.97,0.09
長野県,D120221000027,長野県駒ケ根工業高等学校,工業（機械・電気・情報技術）,48,43,0.9,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.83,0.07
長野県,D120240200016,長野県松川高等学校,普通,40,44,1.1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1,0.1
長野県,D120220500042,長野県飯田高等学校,普通,200,193,0.97,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.04,-0.07
長野県,D120220500042,長野県飯田高等学校,理数,12,30,2.5,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.33,1.17
長野県,D120220500015,長野県飯田風越高等学校,普通,160,164,1.03,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.84,0.19
長野県,D120220500015,長野県飯田風越高等学校,国際教養,4,4,1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.5,0.5
長野県,,飯田OIDE長姫,機械工学,16,19,1.19,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.06,0.13
長野県,,飯田OIDE長姫,電子機械工学,16,15,0.94,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.95,-0.01
長野県,,飯田OIDE長姫,電気電子工学,16,16,1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.19,-0.19
長野県,,飯田OIDE長姫,社会基盤工学,16,13,0.81,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.13,-0.32
長野県,,飯田OIDE長姫,建築学,16,18,1.13,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.19,-0.06
長野県,,飯田OIDE長姫,商業,32,29,0.91,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.97,-0.06
長野県,D120220500033,長野県下伊那農業高等学校,栽培科学,16,18,1.13,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.88,0.25
長野県,D120220500033,長野県下伊那農業高等学校,地域資源,16,15,0.94,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.06,-0.12
長野県,D120220500033,長野県下伊那農業高等学校,生物活用,16,15,0.94,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1,-0.06
長野県,D120240700011,長野県阿智高等学校,普通,48,36,0.75,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.98,-0.23
長野県,D120240400014,長野県阿南高等学校,普通,54,10,0.19,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.29,-0.1
長野県,D120242300011,長野県蘇南高等学校,総合,53,4,0.08,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.05,0.03
長野県,D120243200010,長野県木曽青峰高等学校,普通,40,34,0.85,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.7,0.15
長野県,D120243200010,長野県木曽青峰高等学校,農業（森林環境）,18,0,0,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.56,-0.56
長野県,D120243200010,長野県木曽青峰高等学校,工業（インテリア）,16,8,0.5,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.16,0.34
