prefectureCode,prefectureName,schoolName,area,department,fiscalYear,quota,finalApplicants,finalRate,sourceUrl,docTitle,fetchedAt
chiba,千葉県,流山,,園芸科,令和8年度（2026年度）,120,139,1.16,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,流山,,商業科・情報処理科,令和8年度（2026年度）,80,81,1.01,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,流山おおたかの森,,普通科,令和8年度（2026年度）,320,381,1.19,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,流山おおたかの森,,国際コミュニケーション科,令和8年度（2026年度）,40,43,1.08,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,流山南,,普通科,令和8年度（2026年度）,280,282,1.01,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,流山北,,普通科,令和8年度（2026年度）,200,127,0.64,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,野田中央,,普通科,令和8年度（2026年度）,280,232,0.83,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,清水,,食品科学科,令和8年度（2026年度）,40,39,0.98,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,清水,,機械科・電気科・環境化学科,令和8年度（2026年度）,120,115,0.96,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,関宿,,普通科,令和8年度（2026年度）,80,26,0.33,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
